player,player_id,team,class,poss,position,value_three_pct,value_two_pct,value_ft_pct,value_scoring,color_three_pct,color_two_pct,color_ft_pct,color_scoring,value_assist_rate,value_TO,value_playmaking,color_assist_rate,color_TO,color_playmaking,value_oreb_pct,value_dreb_pct,value_reb_pct,color_oreb_pct,color_dreb_pct,color_reb_pct,value_blk_pct,value_STL,value_PF,value_D,color_blk_pct,color_STL,color_PF,color_D
Matt Reed,2126488,Iona,JR,201,PF,30.8601654306582,48.9510609383207,66.7024583219618,16.1150760277335,#DCE9F5,#FFFFFF,#FFFFFF,#FFFFFF,3.82454108015331,2.49126847230678,-4.53006077123551,#DCE9F5,#FFEBD2,#DCE9F5,7.94064108600268,15.180086480845,23.1207275668476,#FFEBD2,#FFFFFF,#FFEBD2,0.981507330946125,0.534084826336849,7.63979658576939,-1.7624379,#FFFFFF,#CBDEF0,#DCE9F5,#CBDEF0
Zoumana Traore,2531840,New Haven,FR,194,PF,32.0895773710633,48.7617578474179,68.2458194839011,13.3198362940735,#FFFFFF,#FFFFFF,#FFFFFF,#DCE9F5,7.05419215411326,3.95855652715216,-7.38625970586769,#FFFFFF,#DCE9F5,#DCE9F5,4.46015990264209,18.9919212172091,23.4520811198512,#FFFFFF,#FFEBD2,#FFEBD2,1.15367934485078,1.5659478671914,5.94566009759916,-1.1608341,#FFFFFF,#FFFFFF,#FFFFFF,#DCE9F5
Rickey Mitchell Jr.,2152775,Bethune-Cookman,JR,377,SG,33.2698413521303,43.2830261682816,73.2928614880872,16.1465352351101,#FFFFFF,#DCE9F5,#FFFFFF,#FFFFFF,13.6332644586248,3.47331901241222,0.770219657029961,#FFFFFF,#FFFFFF,#FFFFFF,3.21321503284226,9.87584951180739,13.0890645446496,#FFFFFF,#FFFFFF,#FFFFFF,0.977993730960071,1.64262537095515,4.93153382953469,-1.6262317,#FFFFFF,#FFFFFF,#FFFFFF,#DCE9F5
Armari Carraway,2474223,Charleston Southern,JR,648,SG,32.0345847008408,42.5177229298264,73.5990420922488,17.3880278355558,#FFFFFF,#DCE9F5,#FFFFFF,#FFFFFF,11.2179841632606,3.18227735932742,-0.336913160222074,#FFFFFF,#FFFFFF,#FFFFFF,1.64297927617498,5.90140806997095,7.54438734614593,#DCE9F5,#CBDEF0,#CBDEF0,0.371791389886085,1.25601420352895,3.52440021533837,-1.203265,#DCE9F5,#DCE9F5,#FFEBD2,#DCE9F5
Coen Collier,2543731,South Carolina Upstate,JR,616,C,27.0142553411327,49.6537674612405,47.9328313176185,8.58967147898677,#CBDEF0,#FFFFFF,#CBDEF0,#CBDEF0,6.83918511598582,2.34787000907047,-1.1101744194411,#FFFFFF,#FFEBD2,#FFFFFF,9.55784986534396,18.7732224895328,28.3310723548768,#FFEBD2,#FFEBD2,#FFEBD2,8.84922638541229,0.742979649615911,6.89316570408114,-0.30980143,#FFD7A5,#CBDEF0,#DCE9F5,#FFFFFF
Bryson Spell,1705224,Elon,SR,247,C,29.7490278859108,49.1955753817802,72.0687877429067,12.157254095078,#DCE9F5,#FFFFFF,#FFFFFF,#DCE9F5,3.31116115465458,3.98777334770353,-11.0337933859027,#CBDEF0,#DCE9F5,#CBDEF0,6.88292801768548,9.12316864071226,16.0060966583977,#FFFFFF,#DCE9F5,#FFFFFF,4.47682790983881,0.598077561697382,9.93097632260501,-2.0782013,#FFEBD2,#CBDEF0,#CBDEF0,#CBDEF0
Lorenzo Abellar,2313790,Southern Utah,SR,546,PG,33.9256757850918,38.2883752737028,76.048142331743,14.3811377175912,#FFFFFF,#CBDEF0,#FFFFFF,#DCE9F5,19.865096872027,4.20169048871819,3.71757702665948,#FFEBD2,#DCE9F5,#FFEBD2,1.45379323538117,6.49871689344972,7.95251012883088,#DCE9F5,#CBDEF0,#CBDEF0,0.305066875615956,1.85736030451868,4.77821051937509,-1.4458635,#DCE9F5,#FFFFFF,#FFFFFF,#DCE9F5
Caleb Pennyfeather,2313705,Arkansas-Little Rock,SO,530,PF,29.3823315997719,47.5934629948194,57.9812382665531,11.9207454902086,#CBDEF0,#FFFFFF,#DCE9F5,#DCE9F5,5.60487861207374,2.50148162902565,-2.89212561307102,#DCE9F5,#FFEBD2,#FFFFFF,9.04143081572359,12.641044258368,21.6824750740915,#FFEBD2,#FFFFFF,#FFFFFF,5.31754510021193,1.76007888407553,4.30634931888198,-1.859777,#FFEBD2,#FFFFFF,#FFFFFF,#CBDEF0
Marko Ljubicic,2351187,Manhattan,SO,1055,PF,28.9327638073249,54.4952487979514,64.5083705309839,15.4300901188368,#CBDEF0,#FFEBD2,#DCE9F5,#DCE9F5,5.64382749595209,2.36531572145282,-2.30767701451432,#DCE9F5,#FFEBD2,#FFFFFF,7.16885857034566,12.455631694051,19.6244902643967,#FFFFFF,#FFFFFF,#FFFFFF,1.49652143086569,1.28947162235985,5.81802911269394,-1.9508463,#FFFFFF,#DCE9F5,#FFFFFF,#CBDEF0
Yanis Bamba,2095003,Maine,JR,438,SF,30.0023995475593,47.0678358639018,64.1424951400882,17.088259987016,#DCE9F5,#FFFFFF,#DCE9F5,#FFFFFF,7.38160494431879,2.77015074547867,-2.2972143018385,#FFFFFF,#FFFFFF,#FFFFFF,3.12007252085489,10.2254213108685,13.3454938317234,#FFFFFF,#FFFFFF,#FFFFFF,1.58547195890601,1.46766540012616,3.96544051734959,-0.94527512,#FFFFFF,#FFFFFF,#FFEBD2,#DCE9F5
